<UNK> 1.0	SPN
අකුසලයක් 1.0	a k u s @ l @ y a k
අකුසලයකි 1.0	a k u s @ l @ y @ k i
අකුසලයෙකි 1.0	a k u s @ l @ y e k i
අකුසලයෙන් 1.0	a k u s @ l @ y e n
අකුසලයෙනි 1.0	a k u s @ l @ y e n i
අකුසලයේ 1.0	a k u s @ l @ y e:
අකුසල් 1.0	a k u s a l
අකුසල්වලින් 1.0	a k u s a l w @ l i n
අකුසලින් 1.0	a k u s @ l i n
අඛිල 1.0	a k i l @
අග 1.0	a g @
අගක් 1.0	a g a k
අගකින් 1.0	a g @ k i n
අගට 1.0	a g @ t @
අගත 1.0	a g @ t^ @
අගතනතුර 1.0	a g @ t^ @ n @ t^ u r @
අගතනතුරු 1.0	a g @ t^ @ n @ t^ u r u
අගති 1.0	a g @ t^ i
අගතිගාමී 1.0	a g @ t^ i g a: m i:
අගතිය 1.0	a g @ t^ i y @
අගතියට 1.0	a g @ t^ i y @ t @
අගතියෙන් 1.0	a g @ t^ i y e n
අගතියේ 1.0	a g @ t^ i y e:
අගතීන් 1.0	a g @ t^ i: n
අගතුමිය 1.0	a g @ t^ u m i y @
අගනගරය 1.0	a g @ n @ g @ r @ y @
අගන්‍යාශයේ 1.0	a g a n n y a: s^ @ y e:
අගනා 1.0	a g @ n a:
අගනුවර 1.0	a g @ n u w @ r @
අගනුවරට 1.0	a g @ n u w @ r @ t @
අගනුවරත් 1.0	a g @ n u w @ r a t^
අගනේ 1.0	a g @ n e:
අගබිසව 1.0	a g @ b i s @ w @
අගබිසෝ 1.0	a g @ b i s o:
අගභාගයේ 1.0	a g @ b a: g @ y e:
අගමුල 1.0	a g @ m u l @
අගමෙහෙසියගේ 1.0	a g @ m e h e s i y @ g e:
අගය 1.0	a g @ y @
අගයක් 1.0	a g @ y a k
අගයකින් 1.0	a g @ y @ k i n
අගයත් 1.0	a g @ y a t^
අගයන 1.0	a g @ y @ n @
අගයනවා 1.0	a g @ y @ n @ w a:
අගයන් 1.0	a g @ y a n
අගයන්න 1.0	a g @ y a n n @
අගයන්නටත් 1.0	a g @ y a n n @ t a t^
අගයන්නේ 1.0	a g @ y a n n e:
අගයපු 1.0	a g @ y @ p u
අගයමි 1.0	a g @ y @ m i
අගයමින් 1.0	a g @ y @ m i n
අගයලා 1.0	a g @ y @ l a:
අගයෙන් 1.0	a g @ y e n
අගයේ 1.0	a g @ y e:
අගරාය 1.0	a g @ r a: y @
අගරුවකි 1.0	a g @ r u w @ k i
අගලක් 1.0	a g @ l a k
අගවිනිසුරු 1.0	a g @ w i n i s u r u
අගවිනිසුරුතුමා 1.0	a g @ w i n i s u r u t^ u m a:
අගවිනිසුරුවරයා 1.0	a g @ w i n i s u r u w @ r @ y a:
අගසව් 1.0	a g @ s a w
අගසවු 1.0	a g @ s a w u
අග්ග 1.0	a g g @
අග්ගලා 1.0	a g g @ l a:
අග්නි 1.0	a g n i
අග්නිදාහය 1.0	a g n i d^ a: h @ y @
අග්නිදිග 1.0	a g n i d^ i g @
අග්නිය 1.0	a g n i y @
අග්බෝපුර 1.0	a g b o: p u r @
අග්‍ර 1.0	a g r @
අග්‍රගණ්‍ය 1.0	a g r @ g a n n y @
අග්‍රත 1.0	a g r @ t^ @
අග්‍රඵලය 1.0	a g r @ p @ l @ y @
අග්‍රබෝධි 1.0	a g r @ b o: d^ i
අග්‍රයි 1.0	a g r a y i
අග්‍රශ්‍රාවක 1.0	a g r a s^ s^ r a: w @ k @
අග්‍රශාවක 1.0	a g r @ s^ a: w @ k @
අග්‍රා 1.0	a g r a:
අග්‍රාමාත්‍ය 1.0	a g r a: m a: t^ t^ y @
අග්‍රාමාත්‍යවරයා 1.0	a g r a: m a: t^ t^ y @ w @ r @ y a:
අග්‍රාමාත්‍යවරයෙකු 1.0	a g r a: m a: t^ t^ y @ w @ r @ y e k u
අගාධයක් 1.0	a g a: d^ @ y a k
අගාධයට 1.0	a g a: d^ @ y @ t @
අගාධයන්ට 1.0	a g a: d^ @ y a n t @
අගින් 1.0	a g i n
අගී 1.0	a g i:
අගුටුමිටි 1.0	a g u t u m i t i
අගුණ 1.0	a g u n @
අගුණයක් 1.0	a g u n @ y a k
අගුල 1.0	a g u l @
අගුළු 1.0	a g u l u
අගෙයි 1.0	a g e y i
අගේ 1.0	a g e:
අගේට 1.0	a g e: t @
අගෝස්තු 1.0	a g o: s t^ u
අගෝස්තුවල 1.0	a g o: s t^ u w @ l @
අචල 1.0	a c^ @ l @
අචලා 1.0	a c^ @ l a:
අච්චර 1.0	a c^ c^ @ r @
අච්චිලට 1.0	a c^ c^ i l @ t @
අච්චිලා 1.0	a c^ c^ i l a:
අච්චු 1.0	a c^ c^ u
අච්චුව 1.0	a c^ c^ u w @
අච්චුවක 1.0	a c^ c^ u w @ k @
අච්චුවෙන් 1.0	a c^ c^ u w e n
අච්චුවේලී 1.0	a c^ c^ u w e: l i:
අචාර 1.0	a c^ a: r @
අචාර්යවරුන් 1.0	a c^ a: r y @ w @ r u n
අචිනි 1.0	a c^ i n i
අචිරවතී 1.0	a c^ i r @ w @ t^ i:
අචේලකස්සප 1.0	a c^ e: l @ k a s s @ p @
අජටාකාශ 1.0	a j @ t a: k a: s^ @
අජන්ත 1.0	a j a n t^ @
අජපල් 1.0	a j @ p a l
අජරාමර 1.0	a j @ r a: m @ r @
අජරාමරහි 1.0	a j @ r a: m @ r @ h i
අජානීය 1.0	a j a: n i: y @
අජාසත් 1.0	a j a: s a t^
අජාසත්ත 1.0	a j a: s a t^ t^ @
අජිත් 1.0	a j i t^
අජිත්ගෙ 1.0	a j i t^ g e
අජිත්ට 1.0	a j i t^ t @
අජිත්ලගෙන් 1.0	a j i t^ l @ g e n
අජීව 1.0	a j i: w @
අජීවී 1.0	a j i: w i:
අජූත 1.0	a j u: t^ @
අට 1.0	a t @
අටක 1.0	a t @ k @
අටකට 1.0	a t @ k @ t @
අටකටත් 1.0	a t @ k @ t a t^
අටක් 1.0	a t a k
අටකි 1.0	a t @ k i
අටකින් 1.0	a t @ k i n
අටකුත් 1.0	a t @ k u t^
අටට 1.0	a t @ t @
අටත් 1.0	a t a t^
අටදාගේ 1.0	a t @ d^ a: g e:
අටදාහක් 1.0	a t @ d^ a: h a k
අටනමක් 1.0	a t @ n @ m a k
අටපට්ටම් 1.0	a t @ p a t t a m
අටමස්ථානය 1.0	a t @ m a s t^ a: n @ y @
අටමහ 1.0	a t @ m @ h a
අටම්පහුර 1.0	a t a m p @ h u r @
අටමිටක් 1.0	a t @ m i t a k
අටයි 1.0	a t a y i
අටලෝ 1.0	a t @ l o:
අටවක 1.0	a t @ w @ k @
අටවන 1.0	a t @ w @ n @
අටවා 1.0	a t @ w a:
අටවාගත් 1.0	a t @ w a: g a t^
අටවිසි 1.0	a t @ w i s i
අටවෙනි 1.0	a t @ w e n i
අටසිය 1.0	a t @ s i y @
අටසිල් 1.0	a t @ s i l
අටසීයකට 1.0	a t @ s i: y @ k @ t @
අටසීයක් 1.0	a t @ s i: y a k
අටහි 1.0	a t @ h i
අටළොස් 1.0	a t @ l o s
අට්ටාල 1.0	a t t a: l @
අට්ටාලයක් 1.0	a t t a: l @ y a k
අට්ඨකතා 1.0	a t t @ k @ t^ a:
අට්ඨකථාවන්හි 1.0	a t t @ k @ t^ a: w a n h i
අට්ඨික 1.0	a t t i k @
අටියෙන් 1.0	a t i y e n
අටු 1.0	a t u
අටුවා 1.0	a t u w a:
අටුවාටීකා 1.0	a t u w a: t i: k a:
අටුවාව 1.0	a t u w a: w @
අටුවාවට 1.0	a t u w a: w @ t @
අටුවාවන්හි 1.0	a t u w a: w a n h i
අටුවාවල 1.0	a t u w a: w @ l @
අටුවාවෙහි 1.0	a t u w a: w e h i
අටෙන් 1.0	a t e n
අටෙහි 1.0	a t e h i
අටේ 1.0	a t e:
අඩ 1.0	a d @
අඩංගු 1.0	a d a x g u
අඩංගුයි 1.0	a d a x g u y i
අඩංගුවට 1.0	a d a x g u w @ t @
අඩකට 1.0	a d @ k @ t @
අඩකටත් 1.0	a d @ k @ t a t^
අඩක් 1.0	a d a k
අඩන 1.0	a d @ n @
අඩන්තේට්ටම් 1.0	a d a n t^ e: t t a m
අඩපණ 1.0	a d @ p @ n @
අඩපන 1.0	a d @ p @ n @
අඩමසක් 1.0	a d @ m @ s a k
අඩවි 1.0	a d @ w i
අඩවිත් 1.0	a d @ w i t^
අඩවිය 1.0	a d @ w i y @
අඩවියක 1.0	a d @ w i y @ k @
අඩවියක් 1.0	a d @ w i y a k
අඩවියකින් 1.0	a d @ w i y @ k i n
අඩවියට 1.0	a d @ w i y @ t @
අඩවියත් 1.0	a d @ w i y a t^
අඩවියෙත් 1.0	a d @ w i y e t^
අඩවියෙන් 1.0	a d @ w i y e n
අඩවියෙනි 1.0	a d @ w i y e n i
අඩවියෙහි 1.0	a d @ w i y e h i
අඩවියේ 1.0	a d @ w i y e:
අඩවියේදි 1.0	a d @ w i y e: d^ i
අඩවිවල 1.0	a d @ w i w @ l @
අඩවිවලට 1.0	a d @ w i w @ l @ t @
අඩස්සිය 1.0	a d a s s i y @
අඩස්සියට 1.0	a d a s s i y @ t @
අඩහෝරාවකට 1.0	a d @ h o: r a: w @ k @ t @
අඩාල 1.0	a d a: l @
අඩාළ 1.0	a d a: l @
අඩි 1.0	a d i
අඩිකට 1.0	a d i k @ t @
අඩික් 1.0	a d i k
අඩිකාරයෝ 1.0	a d i k a: r @ y o:
අඩිතාලම 1.0	a d i t^ a: l @ m @
අඩිතාලමක් 1.0	a d i t^ a: l @ m a k
අඩිපාර 1.0	a d i p a: r @
අඩිය 1.0	a d i y @
අඩියක 1.0	a d i y @ k @
අඩියක් 1.0	a d i y a k
අඩියකින් 1.0	a d i y @ k i n
අඩියේ 1.0	a d i y e:
අඩිවලින් 1.0	a d i w @ l i n
අඩු 1.0	a d u
අඩුකම 1.0	a d u k @ m @
අඩුකර 1.0	a d u k @ r @
අඩුකරගෙන 1.0	a d u k @ r @ g e n @
අඩුකරන්නට 1.0	a d u k @ r a n n @ t @
අඩුකරල 1.0	a d u k @ r @ l @
අඩුකරලා 1.0	a d u k @ r @ l a:
අඩුකළ 1.0	a d u k @ l @
අඩුගනනෙ 1.0	a d u g @ n @ n e
අඩුගාණේ 1.0	a d u g a: n e:
අඩුගානෙ 1.0	a d u g a: n e
අඩුතරමින් 1.0	a d u t^ @ r @ m i n
අඩුතරමෙ 1.0	a d u t^ @ r @ m e
අඩුපාඩු 1.0	a d u p a: d u
අඩුපාඩුකම් 1.0	a d u p a: d u k a m
අඩුපාඩුත් 1.0	a d u p a: d u t^
අඩුපාඩුව 1.0	a d u p a: d u w @
අඩුපාඩුවක් 1.0	a d u p a: d u w a k
අඩුපාඩුවකි 1.0	a d u p a: d u w @ k i
අඩුබර 1.0	a d u b @ r @
අඩුබවයි 1.0	a d u b @ w a y i
අඩුම 1.0	a d u m @
අඩුමතරමෙ 1.0	a d u m @ t^ @ r @ m e
අඩුමුදලට 1.0	a d u m u d^ @ l @ t @
අඩුයි 1.0	a d u y i
අඩුව 1.0	a d u w @
අඩුවකට 1.0	a d u w @ k @ t @
අඩුවකටත් 1.0	a d u w @ k @ t a t^
අඩුවක් 1.0	a d u w a k
අඩුවකි 1.0	a d u w @ k i
අඩුවකින් 1.0	a d u w @ k i n
අඩුවත් 1.0	a d u w a t^
අඩුවීම 1.0	a d u w i: m @
අඩුවීමක් 1.0	a d u w i: m a k
අඩුවීමයි 1.0	a d u w i: m a y i
අඩුවීමේ 1.0	a d u w i: m e:
අඩුවුනොත් 1.0	a d u w u n o t^
අඩුවෙන 1.0	a d u w e n @
අඩුවෙනවනම් 1.0	a d u w e n @ w @ n a m
අඩුවෙනවා 1.0	a d u w e n @ w a:
අඩුවෙන් 1.0	a d u w e n
අඩුවෙන්න 1.0	a d u w e n n @
අඩුවෙන්නට 1.0	a d u w e n n @ t @
අඩුවෙනි 1.0	a d u w e n i
අඩුවෙලා 1.0	a d u w e l a:
අඩුවේවි 1.0	a d u w e: w i
අඩෙ 1.0	a d e
අඩේ 1.0	a d e:
අඩේනවා 1.0	a d e: n @ w a:
අඩෝ 1.0	a d o:
අණ 1.0	a n @
අණට 1.0	a n @ t @
අණන 1.0	a n @ n @
අණමින් 1.0	a n @ m i n
අණින් 1.0	a n i n
අත 1.0	a t^ @
අතකට 1.0	a t^ @ k @ t @
අතක් 1.0	a t^ a k
අතක්වත් 1.0	a t^ a k w a t^
අතකින් 1.0	a t^ @ k i n
අතකොළුවක් 1.0	a t^ @ k o l u w a k
අතගගා 1.0	a t^ @ g @ g a:
අතගසයි 1.0	a t^ @ g @ s a y i
අතගසලා 1.0	a t^ @ g @ s @ l a:
අතගසා 1.0	a t^ @ g @ s a:
අතගහන්න 1.0	a t^ @ g @ h a n n @
අතගහපු 1.0	a t^ @ g @ h a p u
අතගාන 1.0	a t^ @ g a: n @
අතගාමින් 1.0	a t^ @ g a: m i n
අතගාල 1.0	a t^ @ g a: l @
අතට 1.0	a t^ @ t @
අතටගෙන 1.0	a t^ @ t @ g e n @
අතදරුවා 1.0	a t^ @ d^ @ r u w a:
අතන 1.0	a t^ @ n @
අතපත 1.0	a t^ @ p @ t^ @
අතපය 1.0	a t^ @ p @ y @
අතපසු 1.0	a t^ @ p @ s u
අතපසුවීමක් 1.0	a t^ @ p @ s u w i: m a k
අතපසුවීමේ 1.0	a t^ @ p @ s u w i: m e:
අතපහු 1.0	a t^ @ p @ h u
අතපිස 1.0	a t^ @ p i s @
අතපෙවීම් 1.0	a t^ @ p e w i: m
අතබුදු 1.0	a t^ @ b u d^ u
අතමිට 1.0	a t^ @ m i t @
අතර 1.0	a t^ @ r @
අතරක 1.0	a t^ @ r @ k @
අතරට 1.0	a t^ @ r @ t @
අතරත් 1.0	a t^ @ r a t^
අතරතුර 1.0	a t^ @ r @ t^ u r @
අතරතුරේ 1.0	a t^ @ r @ t^ u r e:
අතරමං 1.0	a t^ @ r @ m a x
අතරමග 1.0	a t^ @ r @ m @ g @
අතරමගදි 1.0	a t^ @ r @ m @ g @ d^ i
අතරමගින් 1.0	a t^ @ r @ m @ g i n
අතරමන් 1.0	a t^ @ r @ m a n
අතරමයි 1.0	a t^ @ r @ m a y i
අතරයි 1.0	a t^ @ r a y i
අතරවත් 1.0	a t^ @ r @ w a t^
අතරවාරයේ 1.0	a t^ @ r @ w a: r @ y e:
අතරෙ 1.0	a t^ @ r e
අතරෙන් 1.0	a t^ @ r e n
අතරෙහි 1.0	a t^ @ r e h i
අතරේ 1.0	a t^ @ r e:
අතල් 1.0	a t^ a l
අතලොස්සක් 1.0	a t^ @ l o s s a k
අතලොස්සකි 1.0	a t^ @ l o s s @ k i
අතවත් 1.0	a t^ @ w a t^
අතවර 1.0	a t^ @ w @ r @
අතවරයට 1.0	a t^ @ w @ r @ y @ t @
අතවරයන් 1.0	a t^ @ w @ r @ y a n
අතවරවල 1.0	a t^ @ w @ r @ w @ l @
අතහිත 1.0	a t^ @ h i t^ @
අතළොස්සකට 1.0	a t^ @ l o s s @ k @ t @
අතළොස්සක් 1.0	a t^ @ l o s s a k
අත් 1.0	a t^
අත්අඩංගුවට 1.0	a t^ a d a x g u w @ t @
අත්අඩංගුවේ 1.0	a t^ a d a x g u w e:
අත්උදවුකරුවෙකුගෙන් 1.0	a t^ u d^ @ w u k a r u w e k u g e n
අත්කම් 1.0	a t^ k a m
අත්කර 1.0	a t^ k @ r @
අත්කරලා 1.0	a t^ k @ r @ l a:
අත්ත 1.0	a t^ t^ @
අත්තක 1.0	a t^ t^ @ k @
අත්තක් 1.0	a t^ t^ a k
අත්තට 1.0	a t^ t^ @ t @
අත්තටු 1.0	a t^ t^ @ t u
අත්තඩංගුවට 1.0	a t^ t^ @ d a x g u w @ t @
අත්තනගල්ල 1.0	a t^ t^ @ n @ g a l l @
අත්තනගල්ලෙ 1.0	a t^ t^ @ n @ g a l l e
අත්තනගල්ලේ 1.0	a t^ t^ @ n @ g a l l e:
අත්තනගලු 1.0	a t^ t^ @ n @ g @ l u
අත්තනායක 1.0	a t^ t^ @ n a: y @ k @
අත්තනායකගේ 1.0	a t^ t^ @ n a: y @ k @ g e:
අත්තනෝ 1.0	a t^ t^ @ n o:
අත්තනෝමතික 1.0	a t^ t^ @ n o: m @ t^ i k @
අත්තනෝමතිකකම් 1.0	a t^ t^ @ n o: m @ t^ i k @ k a m
අත්තම්මලාගේ 1.0	a t^ t^ a m m @ l a: g e:
අත්තම්මා 1.0	a t^ t^ a m m a:
අත්තලාගේ 1.0	a t^ t^ @ l a: g e:
අත්තා 1.0	a t^ t^ a:
අත්තාහි 1.0	a t^ t^ a: h i
අත්තිවාරමක් 1.0	a t^ t^ i w a: r @ m a k
අත්තිවාරම් 1.0	a t^ t^ i w a: r a m
අත්තිවාරමේ 1.0	a t^ t^ i w a: r @ m e:
අත්තුපනායික 1.0	a t^ t^ u p @ n a: y i k @
අත්තෙන් 1.0	a t^ t^ e n
අත්තේ 1.0	a t^ t^ e:
අත්තෝ 1.0	a t^ t^ o:
අත්ථකිලමතානු 1.0	a t^ t^ @ k i l @ m @ t^ a: n u
අත්ථී 1.0	a t^ t^ i:
අත්දකින 1.0	a t^ d^ @ k i n @
අත්දකිනවා 1.0	a t^ d^ @ k i n @ w a:
අත්දකින්න 1.0	a t^ d^ @ k i n n @
අත්දකින්නේ 1.0	a t^ d^ @ k i n n e:
අත්දිග 1.0	a t^ d^ i g @
අත්දුටුවයි 1.0	a t^ d^ u t u w a y i
අත්පත් 1.0	a t^ p a t^
අත්පත්කර 1.0	a t^ p a t^ k @ r @
අත්පත්කරගතයුතු 1.0	a t^ p a t^ k @ r @ g @ t^ @ y u t^ u
අත්පත්කරගත් 1.0	a t^ p a t^ k @ r @ g a t^
අත්පත්කරගෙන 1.0	a t^ p a t^ k @ r @ g e n @
අත්පස 1.0	a t^ p @ s @
අත්පා 1.0	a t^ p a:
අත්පුඩියක් 1.0	a t^ p u d i y a k
අත්පුඩියක්වත් 1.0	a t^ p u d i y a k w a t^
අත්පොත 1.0	a t^ p o t^ @
අත්බවයෙහි 1.0	a t^ b @ w @ y e h i
අත්බවෙහි 1.0	a t^ b @ w e h i
අත්භූත 1.0	a t^ b u: t^ @
අත්මිදි 1.0	a t^ m i d^ i
අත්මිදිලා 1.0	a t^ m i d^ i l a:
අත්මිදීම 1.0	a t^ m i d^ i: m @
අත්මිදීමට 1.0	a t^ m i d^ i: m @ t @
අත්වල 1.0	a t^ w @ l @
අත්වලට 1.0	a t^ w @ l @ t @
අත්වලින් 1.0	a t^ w @ l i n
අත්වාරුවට 1.0	a t^ w a: r u w @ t @
අත්විදින 1.0	a t^ w i d^ i n @
අත්වීමට 1.0	a t^ w i: m @ t @
අත්වෙන්න 1.0	a t^ w e n n @
අත්වෙලා 1.0	a t^ w e l a:
අත්සන 1.0	a t^ s @ n @
අත්සනක් 1.0	a t^ s @ n a k
අත්සන් 1.0	a t^ s a n
අත්සන්කොට 1.0	a t^ s a n k o t @
අත්සනින් 1.0	a t^ s @ n i n
අත්හදා 1.0	a t^ h @ d^ a:
අත්හරුවයි 1.0	a t^ h @ r u w a y i
අත්හළ 1.0	a t^ h @ l @
අත්හිටුවා 1.0	a t^ h i t u w a:
අත්හිටුවීමට 1.0	a t^ h i t u w i: m @ t @
අත්‍යන්තයෙන් 1.0	a t^ y a n t^ @ y e n
අත්‍යවශ්‍ය 1.0	a t^ y @ w a s^ s^ y @
අත්‍යවශ්‍යයෙන් 1.0	a t^ y @ w a s^ s^ y @ y e n
අත්‍යාලංකාර 1.0	a t^ y a: l a x k a: r @
අතාර්කික 1.0	a t^ a: r k i k @
අති 1.0	a t^ i
අතික්‍රමණය 1.0	a t^ i k k r @ m @ n @ y @
අතිගරු 1.0	a t^ i g @ r u
අතිජාත 1.0	a t^ i j a: t^ @
අතිතයේ 1.0	a t^ i t^ @ y e:
අතිදක්ෂ 1.0	a t^ i d^ a k s^ @
අතිනත 1.0	a t^ i n @ t^ @
අතින් 1.0	a t^ i n
අතිනුත් 1.0	a t^ i n u t^
අතිපූජනීය 1.0	a t^ i p u: j @ n i: y @
අතිපූජ්‍ය 1.0	a t^ i p u: j j y @
අතිමහත් 1.0	a t^ i m @ h a t^
අතිමාත්‍ර 1.0	a t^ i m a: t^ t^ r @
අතිමාත්‍රයෙන් 1.0	a t^ i m a: t^ t^ r @ y e n
අතිමාතී 1.0	a t^ i m a: t^ i:
අතිරේක 1.0	a t^ i r e: k @
අතිවිශාල 1.0	a t^ i w i s^ a: l @
අතිවිශිෂ්ට 1.0	a t^ i w i s^ i s^ t @
අතිශය 1.0	a t^ i s^ @ y @
අතිශයින් 1.0	a t^ i s^ @ y i n
අතිශයෙන් 1.0	a t^ i s^ @ y e n
අතිශයෝක්තිය 1.0	a t^ i s^ @ y o: k t^ i y @
අතිශයෝක්තියක් 1.0	a t^ i s^ @ y o: k t^ i y a k
අතිශයෝක්තියෙන් 1.0	a t^ i s^ @ y o: k t^ i y e n
අතිශ්‍රේෂ්ඨ 1.0	a t^ i s^ s^ r e: s^ t @
